"cnt","sumnof","sumnoa","minbn","maxbn","received_time","run_id"
4,8000,8000,126,126,"2022-07-19 12:24:41+02","4000000-fabricConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-fabric-rl-100-mm-2000"
2,400,400,95,95,"2022-07-23 20:51:48+02","4000000-sawtoothConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-6-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-1"
8,800,800,721,722,"2022-07-19 10:24:20+02","4000000-fabricConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-fabric-rl-50-mm-100"
3,0,0,333,335,"2022-07-19 22:10:43+02","4000000-quorumConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-5-quorum-rl-400-ib-5"
2,6534,6534,110,110,"2022-07-19 19:28:47+02","4000000-quorumConfiguration-keyvalue-get-40-flalv-rn-1-hetzner-repid-4-quorum-rl-100-ib-10"
8,800,800,307,308,"2022-07-19 10:19:00+02","4000000-fabricConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-4-fabric-rl-50-mm-100"
8,800,800,1153,1154,"2022-07-19 10:27:56+02","4000000-fabricConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-fabric-rl-50-mm-100"
1,500,500,706,706,"2022-07-19 11:05:38+02","4000000-fabricConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-fabric-rl-100-mm-500"
2,1000,1000,34,34,"2022-07-19 10:46:30+02","4000000-fabricConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-4-fabric-rl-100-mm-500"
4,400,400,79,79,"2022-07-23 20:50:18+02","4000000-sawtoothConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-6-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-1"
3,0,0,348,350,"2022-07-19 23:42:13+02","4000000-quorumConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-7-quorum-rl-400-ib-5"
4,400,400,251,251,"2022-07-24 14:22:12+02","4000000-sawtoothConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-7-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-10"
4,400,400,181,181,"2022-07-24 14:19:42+02","4000000-sawtoothConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-7-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-10"
1,1035,1035,109,109,"2022-07-20 09:44:12+02","4000000-quorumConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-8-quorum-rl-400-ib-5"
8,800,800,1117,1118,"2022-07-19 10:27:38+02","4000000-fabricConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-fabric-rl-50-mm-100"
4,400,400,237,237,"2022-07-24 11:59:45+02","4000000-sawtoothConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-6-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-10"
3,1215,1215,119,121,"2022-07-19 21:05:29+02","4000000-quorumConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-4-quorum-rl-400-ib-5"
5,5821,5821,73,75,"2022-07-19 22:31:48+02","4000000-quorumConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-6-quorum-rl-400-ib-5"
1,100,100,106,106,"2022-07-24 10:51:25+02","4000000-sawtoothConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-10"
4,8000,8000,70,88,"2022-07-19 11:26:53+02","4000000-fabricConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-4-fabric-rl-400-mm-2000"
4,2000,2000,389,389,"2022-07-19 10:56:22+02","4000000-fabricConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-fabric-rl-100-mm-500"
3,0,0,381,383,"2022-07-20 10:07:00+02","4000000-quorumConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-8-quorum-rl-400-ib-5"
3,0,0,249,251,"2022-07-19 21:16:15+02","4000000-quorumConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-quorum-rl-400-ib-5"
1,969,969,100,100,"2022-07-20 09:43:27+02","4000000-quorumConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-8-quorum-rl-400-ib-5"
2,10,1000,46,46,"2022-07-18 19:11:35+02","4000000-grapheneConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-4-graphene-rl-50-bi-5-opt-100-notpc-1"
8,800,800,1449,1450,"2022-07-19 10:33:04+02","4000000-fabricConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-fabric-rl-50-mm-100"
4,800,800,53,53,"2022-07-23 20:47:35+02","4000000-sawtoothConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-6-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-1"
4,2000,2000,16,16,"2022-07-23 14:52:49+02","4000000-sawtoothConfiguration-keyvalue-set-40-flalv-rn-1-hetzner-repid-5-sawtooth-rl-400-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-2"
