"stf","etf","countallrows","stfe","etfe","duration","tps","minstarttime","maxendtime","avglatency","maxlatency","minlatency","stddevlatency","variancelatency","maxinvalidcounter","maxexististingcounter","maxerrorcounter","maxvalidcounter","cumulativecount","run_id"
"2022-09-15 18:30:28+02","2022-09-15 18:36:04+02",3614,1663259428,1663259764,336,10.755952380952381,1.4200395300244944e+16,1.420073593815276e+16,37.47783065855009,91.06,10.19,19.455071079236266,378.4997906981354,0,0,0,940,1,"4000000-cordaConfiguration-keyvalue-set-40-flalv-rn-1-final16peers-repid-3-cordaenterprise-rl-opti"
"2022-09-17 21:49:37+02","2022-09-17 21:56:22+02",163,1663444177,1663444582,405,0.4024691358024691,1.4385143832783604e+16,1.4385554246268836e+16,79.5130674846626,228.59,11.14,50.24271731921826,2524.3306436188745,10,0,0,69,1,"4000000-cordaConfiguration-sb-balance-40-flalv-rn-1-final16peers-repid-3-cordaos-rl-opti"
"2022-09-15 16:19:14+02","2022-09-15 16:24:21+02",10125,1663251554,1663251861,307,32.98045602605863,1.419252118009262e+16,1.4192832912630142e+16,8.546101728395065,23.93,4,3.2374894369141587,10.481337854130757,0,0,0,2734,1,"4000000-cordaConfiguration-sb-createAccount-40-flalv-rn-1-final16peers-repid-1-cordaenterprise-rl-opti"
"2022-09-15 17:38:13+02","2022-09-15 17:43:22+02",10191,1663256293,1663256602,309,32.980582524271846,1.419726039437822e+16,1.4197573892685844e+16,9.51717201452262,23.17,3.96,3.277349154067982,10.741017477670118,0,0,0,2691,1,"4000000-cordaConfiguration-sb-createAccount-40-flalv-rn-1-final16peers-repid-2-cordaenterprise-rl-opti"
"2022-09-15 18:56:38+02","2022-09-15 19:01:47+02",10132,1663260998,1663261307,309,32.78964401294498,1.4201965421017054e+16,1.4202278619827448e+16,9.628517568101065,25.23,3.98,3.50270428591488,12.268937314566468,0,0,0,2707,1,"4000000-cordaConfiguration-sb-createAccount-40-flalv-rn-1-final16peers-repid-3-cordaenterprise-rl-opti"
"2022-09-17 21:34:16+02","2022-09-17 21:40:04+02",20,1663443256,1663443604,348,0.05747126436781609,1.43842230058093e+16,1.4384570540516856e+16,286.648,344.74,214.72,47.072398393605525,2215.8106905263157,564,0,0,20,1,"4000000-cordaConfiguration-sb-createAccount-40-flalv-rn-1-final16peers-repid-3-cordaos-rl-opti"
"2022-09-10 20:12:41+02","2022-09-10 20:18:00+02",17521,1662833561,1662833880,319,54.924764890282134,1.3774528246012588e+16,1.3774852341377622e+16,86.01561840077625,201.43,6.12,38.411045220743944,1475.4083949500362,3998,0,0,8579,1,"4000000-diemConfiguration-donothing-doNothing-40-flalv-rn-1-final16peers-repid-1-diem-rl-opti-bs-opti-ppa-60000"
"2022-09-10 21:51:22+02","2022-09-10 21:56:52+02",18888,1662839482,1662839812,330,57.236363636363635,1.3780448582631446e+16,1.378078282988198e+16,89.89223581109701,209.39,10.66,38.92608820806649,1515.240343182173,3341,0,0,7538,1,"4000000-diemConfiguration-donothing-doNothing-40-flalv-rn-1-final16peers-repid-2-diem-rl-opti-bs-opti-ppa-60000"
"2022-09-10 23:26:51+02","2022-09-10 23:32:19+02",18109,1662845211,1662845539,328,55.21036585365854,1.3786177456786112e+16,1.3786508339026722e+16,83.35602849411895,204.63,10.52,41.23647652181019,1700.4469959338028,3447,0,0,9047,1,"4000000-diemConfiguration-donothing-doNothing-40-flalv-rn-1-final16peers-repid-3-diem-rl-opti-bs-opti-ppa-60000"
"2022-09-10 20:46:17+02","2022-09-10 20:51:31+02",6214,1662835577,1662835891,314,19.78980891719745,1.3776543526010736e+16,1.377686276347706e+16,222.65823624074673,294.13,165.87,37.442550491760755,1401.9445873280536,9001,0,0,3002,1,"4000000-diemConfiguration-keyvalue-get-40-flalv-rn-1-final16peers-repid-1-diem-rl-opti-bs-opti-ppa-60000"
"2022-09-10 22:23:13+02","2022-09-10 22:28:18+02",4709,1662841393,1662841698,305,15.439344262295082,1.3782360064422056e+16,1.3782669759613672e+16,217.2351072414525,302.21,176.94,34.65988071280818,1201.3073310260927,9909,0,0,2854,1,"4000000-diemConfiguration-keyvalue-get-40-flalv-rn-1-final16peers-repid-2-diem-rl-opti-bs-opti-ppa-60000"
